date,city,count
10-04-2020,kanpur,1
11-04-2020,kanpur,0
12-04-2020,kanpur,0
13-04-2020,kanpur,0
14-04-2020,kanpur,0
15-04-2020,kanpur,1
16-04-2020,kanpur,8
17-04-2020,kanpur,4
18-04-2020,kanpur,7
19-04-2020,kanpur,1
30-01-2020,nagpur,0
02-02-2020,nagpur,0
03-02-2020,nagpur,0
02-03-2020,nagpur,0
03-03-2020,nagpur,0
04-03-2020,nagpur,0
05-03-2020,nagpur,0
06-03-2020,nagpur,0
07-03-2020,nagpur,0
08-03-2020,nagpur,0
09-03-2020,nagpur,0
10-03-2020,nagpur,0
11-03-2020,nagpur,0
12-03-2020,nagpur,1
13-03-2020,nagpur,0
14-03-2020,nagpur,2
15-03-2020,nagpur,1
16-03-2020,nagpur,0
17-03-2020,nagpur,0
18-03-2020,nagpur,0
19-03-2020,nagpur,0
20-03-2020,nagpur,0
21-03-2020,nagpur,0
22-03-2020,nagpur,0
23-03-2020,nagpur,0
24-03-2020,nagpur,0
25-03-2020,nagpur,0
26-03-2020,nagpur,0
27-03-2020,nagpur,1
28-03-2020,nagpur,4
29-03-2020,nagpur,2
30-03-2020,nagpur,3
31-03-2020,nagpur,2
01-04-2020,nagpur,0
02-04-2020,nagpur,0
03-04-2020,nagpur,0
04-04-2020,nagpur,0
05-04-2020,nagpur,1
06-04-2020,nagpur,0
07-04-2020,nagpur,0
08-04-2020,nagpur,2
09-04-2020,nagpur,0
10-04-2020,nagpur,0
11-04-2020,nagpur,6
12-04-2020,nagpur,0
13-04-2020,nagpur,17
14-04-2020,nagpur,3
15-04-2020,nagpur,9
16-04-2020,nagpur,1
17-04-2020,nagpur,3
18-04-2020,nagpur,1
19-04-2020,nagpur,4
30-01-2020,lucknow,0
02-02-2020,lucknow,0
03-02-2020,lucknow,0
02-03-2020,lucknow,0
03-03-2020,lucknow,0
04-03-2020,lucknow,0
05-03-2020,lucknow,0
06-03-2020,lucknow,0
07-03-2020,lucknow,0
08-03-2020,lucknow,0
09-03-2020,lucknow,0
10-03-2020,lucknow,0
11-03-2020,lucknow,0
12-03-2020,lucknow,0
13-03-2020,lucknow,1
14-03-2020,lucknow,0
15-03-2020,lucknow,0
16-03-2020,lucknow,0
17-03-2020,lucknow,0
18-03-2020,lucknow,0
19-03-2020,lucknow,1
20-03-2020,lucknow,1
21-03-2020,lucknow,4
22-03-2020,lucknow,0
23-03-2020,lucknow,0
24-03-2020,lucknow,0
25-03-2020,lucknow,0
26-03-2020,lucknow,0
27-03-2020,lucknow,0
28-03-2020,lucknow,1
29-03-2020,lucknow,0
30-03-2020,lucknow,0
31-03-2020,lucknow,1
01-04-2020,lucknow,0
02-04-2020,lucknow,1
03-04-2020,lucknow,0
04-04-2020,lucknow,0
05-04-2020,lucknow,0
06-04-2020,lucknow,7
07-04-2020,lucknow,5
08-04-2020,lucknow,2
09-04-2020,lucknow,5
10-04-2020,lucknow,0
11-04-2020,lucknow,0
12-04-2020,lucknow,3
13-04-2020,lucknow,0
14-04-2020,lucknow,4
15-04-2020,lucknow,8
16-04-2020,lucknow,31
17-04-2020,lucknow,22
18-04-2020,lucknow,7
19-04-2020,lucknow,59
30-01-2020,visakhapatnam,0
02-02-2020,visakhapatnam,0
03-02-2020,visakhapatnam,0
02-03-2020,visakhapatnam,0
03-03-2020,visakhapatnam,0
04-03-2020,visakhapatnam,0
05-03-2020,visakhapatnam,0
06-03-2020,visakhapatnam,0
07-03-2020,visakhapatnam,0
08-03-2020,visakhapatnam,0
09-03-2020,visakhapatnam,0
10-03-2020,visakhapatnam,0
11-03-2020,visakhapatnam,0
12-03-2020,visakhapatnam,0
13-03-2020,visakhapatnam,0
14-03-2020,visakhapatnam,0
15-03-2020,visakhapatnam,0
16-03-2020,visakhapatnam,0
17-03-2020,visakhapatnam,0
18-03-2020,visakhapatnam,0
19-03-2020,visakhapatnam,0
20-03-2020,visakhapatnam,1
21-03-2020,visakhapatnam,0
22-03-2020,visakhapatnam,0
23-03-2020,visakhapatnam,1
24-03-2020,visakhapatnam,1
25-03-2020,visakhapatnam,0
26-03-2020,visakhapatnam,0
27-03-2020,visakhapatnam,0
28-03-2020,visakhapatnam,1
29-03-2020,visakhapatnam,0
30-03-2020,visakhapatnam,2
31-03-2020,visakhapatnam,0
01-04-2020,visakhapatnam,4
02-04-2020,visakhapatnam,1
03-04-2020,visakhapatnam,0
04-04-2020,visakhapatnam,4
05-04-2020,visakhapatnam,0
06-04-2020,visakhapatnam,0
07-04-2020,visakhapatnam,5
08-04-2020,visakhapatnam,0
09-04-2020,visakhapatnam,0
10-04-2020,visakhapatnam,0
11-04-2020,visakhapatnam,0
12-04-2020,visakhapatnam,0
13-04-2020,visakhapatnam,0
14-04-2020,visakhapatnam,0
15-04-2020,visakhapatnam,0
16-04-2020,visakhapatnam,0
17-04-2020,visakhapatnam,0
18-04-2020,visakhapatnam,0
19-04-2020,visakhapatnam,0
30-01-2020,thane,0
02-02-2020,thane,0
03-02-2020,thane,0
02-03-2020,thane,0
03-03-2020,thane,0
04-03-2020,thane,0
05-03-2020,thane,0
06-03-2020,thane,0
07-03-2020,thane,0
08-03-2020,thane,0
09-03-2020,thane,0
10-03-2020,thane,0
11-03-2020,thane,0
12-03-2020,thane,0
13-03-2020,thane,0
14-03-2020,thane,0
15-03-2020,thane,3
16-03-2020,thane,0
17-03-2020,thane,4
18-03-2020,thane,0
19-03-2020,thane,0
20-03-2020,thane,1
21-03-2020,thane,0
22-03-2020,thane,1
23-03-2020,thane,1
24-03-2020,thane,2
25-03-2020,thane,2
26-03-2020,thane,2
27-03-2020,thane,0
28-03-2020,thane,1
29-03-2020,thane,1
30-03-2020,thane,4
31-03-2020,thane,0
01-04-2020,thane,13
02-04-2020,thane,0
03-04-2020,thane,9
04-04-2020,thane,10
05-04-2020,thane,21
06-04-2020,thane,1
07-04-2020,thane,0
08-04-2020,thane,0
09-04-2020,thane,5
10-04-2020,thane,15
11-04-2020,thane,22
12-04-2020,thane,24
13-04-2020,thane,42
14-04-2020,thane,21
15-04-2020,thane,60
16-04-2020,thane,13
17-04-2020,thane,13
18-04-2020,thane,18
19-04-2020,thane,30
21-04-2020,mumbai,308
22-04-2020,mumbai,419
23-04-2020,mumbai,232
24-04-2020,mumbai,522
25-04-2020,mumbai,242
26-04-2020,mumbai,602
20-04-2020,delhi,0
21-04-2020,delhi,78
22-04-2020,delhi,75
23-04-2020,delhi,92
24-04-2020,delhi,128
25-04-2020,delhi,138
26-04-2020,delhi,111
20-04-2020,bangalore,0
21-04-2020,bangalore,0
22-04-2020,bangalore,0
23-04-2020,bangalore,2
24-04-2020,bangalore,10
25-04-2020,bangalore,19
26-04-2020,bangalore,13
20-04-2020,hyderabad,0
21-04-2020,hyderabad,12
